Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	440AF21 Bandpass	XF1071/22
301	0.0				
302	0.0				
303	0.0				
304	1e-05				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	1e-05				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	1e-05				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	1e-05				
359	0.0				
360	0.0				
361	0.0				
362	2e-05				
363	0.0				
364	1e-05				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	1e-05				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	2e-05				
389	0.0				
390	1e-05				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	1e-05				
404	2e-05				
405	0.0				
406	1e-05				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	1e-05				
421	0.0				
422	1e-05				
423	1e-05				
424	2e-05				
425	0.0				
426	0.0				
427	1e-05				
428	4e-05				
429	0.0002				
430	0.00094				
431	0.00357				
432	0.01754				
433	0.07993				
434	0.20198				
435	0.312				
436	0.35368				
437	0.35062				
438	0.34497999999999995				
439	0.35424999999999995				
440	0.37228				
441	0.38682				
442	0.39574				
443	0.4018				
444	0.4044				
445	0.39746000000000004				
446	0.37494999999999995				
447	0.31635				
448	0.19957999999999998				
449	0.07764				
450	0.01726				
451	0.0034899999999999996				
452	0.00082				
453	0.00017999999999999998				
454	6e-05				
455	1e-05				
456	1e-05				
457	1e-05				
458	0.0				
459	2e-05				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	1e-05				
465	1e-05				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	1e-05				
474	1e-05				
475	1e-05				
476	0.0				
477	1e-05				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	1e-05				
493	0.0				
494	0.0				
495	1e-05				
496	1e-05				
497	1e-05				
498	0.0				
499	1e-05				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	1e-05				
506	0.0				
507	1e-05				
508	0.0				
509	0.0				
510	0.0				
511	2e-05				
512	0.0				
513	0.0				
514	1e-05				
515	0.0				
516	1e-05				
517	0.0				
518	0.0				
519	0.0				
520	1e-05				
521	0.0				
522	1e-05				
523	0.0				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	3e-05				
545	2e-05				
546	0.0				
547	1e-05				
548	0.0				
549	1e-05				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	1e-05				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	1e-05				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	1e-05				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	1e-05				
586	0.0				
587	1e-05				
588	1e-05				
589	0.0				
590	1e-05				
591	1e-05				
592	1e-05				
593	2e-05				
594	0.0				
595	1e-05				
596	0.0				
597	1e-05				
598	0.0				
599	1e-05				
600	0.0				
601	0.0				
602	1e-05				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	1e-05				
610	0.0				
611	0.0				
612	1e-05				
613	1e-05				
614	1e-05				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	1e-05				
620	0.0				
621	2e-05				
622	0.0				
623	2e-05				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	1e-05				
638	0.0				
639	0.0				
640	0.0				
641	1e-05				
642	0.0				
643	0.0				
644	0.0				
645	1e-05				
646	1e-05				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	1e-05				
656	0.0				
657	0.0				
658	2e-05				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	1e-05				
667	1e-05				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	1e-05				
673	1e-05				
674	0.0				
675	0.0				
676	1e-05				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	1e-05				
682	0.0				
683	0.0				
684	1e-05				
685	0.0				
686	0.0				
687	0.0				
688	1e-05				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
701	2e-05				
702	1e-05				
703	0.0				
704	0.0				
705	1e-05				
706	1e-05				
707	1e-05				
708	1e-05				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	1e-05				
716	0.0				
717	0.0				
718	0.0				
719	1e-05				
