Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.0	#838383	Omega	488AF40 Bandpass	W5021
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	1e-05				
445	1e-05				
446	2e-05				
447	5e-05				
448	5e-05				
449	8e-05				
450	0.00012				
451	0.00015				
452	0.0002				
453	0.00033				
454	0.00047				
455	0.00077				
456	0.00127				
457	0.00203				
458	0.00332				
459	0.005540000000000001				
460	0.009399999999999999				
461	0.016120000000000002				
462	0.026459999999999997				
463	0.04244				
464	0.06732				
465	0.10798				
466	0.17726				
467	0.29651				
468	0.46908				
469	0.64753				
470	0.76018				
471	0.79149				
472	0.79731				
473	0.80305				
474	0.8134699999999999				
475	0.82491				
476	0.83108				
477	0.8377800000000001				
478	0.83794				
479	0.83694				
480	0.83769				
481	0.83634				
482	0.8365600000000001				
483	0.8390000000000001				
484	0.8403100000000001				
485	0.83893				
486	0.83953				
487	0.83761				
488	0.83741				
489	0.8357399999999999				
490	0.8367600000000001				
491	0.8349599999999999				
492	0.8344400000000001				
493	0.8288800000000001				
494	0.8222				
495	0.81852				
496	0.81343				
497	0.81367				
498	0.81502				
499	0.8146599999999999				
500	0.81202				
501	0.80622				
502	0.79878				
503	0.79361				
504	0.79605				
505	0.7961100000000001				
506	0.78889				
507	0.75649				
508	0.67977				
509	0.54785				
510	0.35788				
511	0.17876999999999998				
512	0.07415				
513	0.02965				
514	0.0125				
515	0.005560000000000001				
516	0.00262				
517	0.00136				
518	0.0007099999999999999				
519	0.00039				
520	0.0002				
521	0.0001				
522	8e-05				
523	3e-05				
524	1e-05				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.0				
600	0.0				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.0				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	0.0				
699	0.0				
700	0.0				
