Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.00672	#00AFAA	Lee Filters	Scuba Blue	729
410	0.01542				
415	0.02568				
420	0.03858				
425	0.050320000000000004				
430	0.062380000000000005				
435	0.08362				
440	0.10773999999999999				
445	0.13235				
450	0.15291				
455	0.16519999999999999				
460	0.18521				
465	0.21991				
470	0.25781				
475	0.3018				
480	0.35155000000000003				
485	0.38970999999999995				
490	0.41191				
495	0.42706000000000005				
500	0.41651000000000005				
505	0.38055999999999995				
510	0.34057000000000004				
515	0.29191				
520	0.23037				
525	0.1725				
530	0.12258				
535	0.07928				
540	0.045720000000000004				
545	0.02366				
550	0.01018				
555	0.00361				
560	0.00105				
565	0.00029				
570	0.0001				
575	0.0001				
580	0.0001				
585	0.0001				
590	0.0001				
595	0.0001				
600	0.0001				
605	0.0001				
610	0.0001				
615	0.0001				
620	0.0001				
625	0.0001				
630	0.0001				
635	0.0001				
640	0.0001				
645	0.0001				
650	0.0001				
655	0.0001				
660	0.0001				
665	0.0001				
670	0.0001				
675	0.0001				
680	0.0001				
685	0.0001				
690	0.0001				
695	0.0001				
700	0.00233				
705	0.00417				
710	0.00753				
715	0.013640000000000001				
720	0.02461				
725	0.04402999999999999				
730	0.07748000000000001				
735	0.13247				
740	0.21627				
745	0.33029000000000003				
750	0.46368000000000004				
755	0.59471				
760	0.7031100000000001				
765	0.78074				
770	0.83077				
775	0.86087				
780	0.87822				
785	0.8879900000000001				
790	0.8934099999999999				
795	0.8963899999999999				
800	0.89777				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
